data_year,state_name,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies,covered_agencies,covered_pct,total_population,nibrs_population
2002,New Mexico,119,83,0.70,0,0,0,0,1866916,0
1996,Connecticut,116,98,0.84,0,0,0,0,3355827,0
1998,Wyoming,79,65,0.82,0,0,0,0,485341,0
2020,Mississippi,275,132,0.48,106,0.80,0,0,2969880,1483403
1969,Delaware,17,12,0.71,0,0,0,0,548078,0
1963,Delaware,14,11,0.79,0,0,0,0,484459,0
1988,California,782,740,0.95,0,0,1,0.00,28413241,0
1964,Arkansas,141,80,0.57,0,0,0,0,1978395,0
2018,South Carolina,511,447,0.87,447,1.00,1,0.00,5107178,5043958
2007,Pennsylvania,1650,1253,0.76,0,0,0,0,12977687,0
1993,Florida,741,443,0.60,0,0,0,0,13718467,0
2015,Massachusetts,444,360,0.81,305,0.85,0,0,6805699,5893830
1976,Arkansas,182,154,0.85,0,0,0,0,2112736,0
1989,North Carolina,706,411,0.58,0,0,0,0,6603111,0
1966,Vermont,42,24,0.57,0,0,0,0,404543,0
2020,Oklahoma,499,442,0.89,403,0.91,1,0.00,3999863,2875975
1976,North Carolina,623,396,0.64,0,0,0,0,5469000,0
1994,North Dakota,109,90,0.83,77,0.86,0,0,649435,499357
2010,Alaska,47,36,0.77,0,0,0,0,711456,0
1986,New York,1033,776,0.75,0,0,0,0,19023903,0
1988,Oklahoma,340,281,0.83,0,0,0,0,3312954,0
1992,Maryland,180,152,0.84,0,0,3,0.02,5044948,0
1972,Maryland,88,65,0.74,0,0,0,0,4163928,0
1976,Minnesota,280,276,0.99,0,0,0,0,3971033,0
2019,Louisiana,309,191,0.62,44,0.23,0,0,4711000,1350855
1999,Mississippi,223,117,0.52,0,0,0,0,2769107,0
1985,Oklahoma,340,290,0.85,0,0,0,0,3344902,0
2017,Maine,161,135,0.84,25,0.19,0,0,1390713,381656
1960,Delaware,14,10,0.71,0,0,0,0,453611,0
1996,Maine,196,179,0.91,0,0,0,0,1269105,0
2016,Michigan,846,637,0.75,627,0.98,1,0.00,10325851,9879763
1980,Kansas,252,232,0.92,0,0,3,0.01,2388998,0
1975,Vermont,49,22,0.45,0,0,0,0,471000,0
1978,Kentucky,476,463,0.97,0,0,0,0,3506432,0
1977,Idaho,111,99,0.89,0,0,0,0,877500,0
2016,Alaska,50,32,0.64,0,0,0,0,747188,0
2016,Texas,1199,1024,0.85,110,0.11,0,0,27948471,4545714
1981,California,670,631,0.94,0,0,0,0,24273613,0
1977,Illinois,836,663,0.79,0,0,0,0,11286565,0
1992,Michigan,783,662,0.85,0,0,1,0.00,9669695,0
2003,Kentucky,557,28,0.05,17,0.61,2,0.07,4145297,220874
1999,Hawaii,14,4,0.29,0,0,0,0,1281793,0
1992,Louisiana,186,109,0.59,0,0,0,0,4311357,0
1993,Illinois,911,134,0.15,1,0.01,0,0,11803051,142703
1977,Missouri,298,216,0.72,0,0,0,0,4879079,0
1966,Pennsylvania,664,507,0.76,0,0,0,0,11678404,0
1963,South Carolina,120,81,0.68,0,0,1,0.01,2539527,0
2015,North Dakota,138,112,0.81,108,0.96,0,0,781773,756927
1991,Georgia,708,599,0.85,0,0,1,0.00,6675591,0
1997,Kentucky,559,15,0.03,0,0,0,0,3919004,0
1994,Louisiana,210,169,0.80,0,0,0,0,4339929,0
1975,Arkansas,172,127,0.74,0,0,0,0,2119736,0
1989,New Hampshire,221,113,0.51,0,0,0,0,1249584,0
2003,South Dakota,159,129,0.81,117,0.91,1,0.01,774952,418916
1960,Utah,69,57,0.83,0,0,0,0,918426,0
1984,New Hampshire,219,113,0.52,0,0,0,0,1112253,0
2014,Maryland,193,154,0.80,0,0,0,0,6167060,0
1966,Massachusetts,265,213,0.80,0,0,0,0,5403194,0
1961,Mississippi,145,103,0.71,0,0,0,0,2182022,0
2003,Michigan,791,621,0.79,610,0.98,2,0.00,10392804,8453674
1998,Connecticut,118,100,0.85,22,0.22,0,0,3350286,344066
1968,Georgia,276,113,0.41,0,0,0,0,4673214,0
2019,Ohio,922,631,0.68,557,0.88,1,0.00,11801080,9787451
1961,Utah,69,59,0.86,0,0,0,0,918426,0
2015,Hawaii,15,4,0.27,0,0,0,0,1556738,0
2021,Nebraska,340,270,0.79,270,1.00,0,0,2027023,1473184
1976,Kentucky,459,453,0.99,0,0,0,0,3434464,0
2019,Puerto Rico,24,1,0.04,0,0,0,0,3193694,0
1961,Tennessee,173,125,0.72,0,0,0,0,3438446,0
1991,Illinois,831,699,0.84,1,0.00,0,0,11649720,140796
2011,Georgia,781,556,0.71,0,0,0,0,9880945,0
1970,Guam,1,0,0,0,0,0,0,86926,0
2010,Indiana,371,309,0.83,0,0,0,0,6494899,0
2017,Pennsylvania,1852,1489,0.80,27,0.02,0,0,13598612,202676
1990,Montana,114,77,0.68,0,0,0,0,872769,0
1987,New Mexico,124,75,0.60,0,0,0,0,1513969,0
1998,California,831,718,0.86,0,0,0,0,32763349,0
1966,Colorado,114,95,0.83,0,0,0,0,2042031,0
1969,Canal Zone,1,0,0,0,0,0,0,55600,0
1987,Nebraska,322,222,0.69,0,0,0,0,1684553,0
1965,Mississippi,145,74,0.51,0,0,0,0,2298798,0
1973,Georgia,298,155,0.52,0,0,0,0,4886696,0
2015,Oregon,298,215,0.72,163,0.76,1,0.00,4133415,3194760
1979,Mississippi,186,128,0.69,0,0,0,0,2411075,0
2013,Canal Zone,0,0,0,0,0,0,0,0,0
2008,Wyoming,80,63,0.79,0,0,0,0,539308,0
2004,Georgia,758,514,0.68,0,0,0,0,8865341,0
1989,Tennessee,291,207,0.71,0,0,0,0,4956954,0
2017,Alabama,479,380,0.79,45,0.12,0,0,4894285,889765
1989,Oregon,277,249,0.90,0,0,0,0,2839984,0
1975,Minnesota,276,270,0.98,0,0,0,0,3932033,0
2022,Arkansas,351,294,0.84,294,1.00,0,0,3071960,2986257
1992,District of Columbia,1,1,1.00,0,0,0,0,589000,0
2022,Florida,828,367,0.44,73,0.20,0,0,22383331,7025392
1996,Missouri,335,250,0.75,0,0,0,0,5440912,0
2006,Oklahoma,387,308,0.80,0,0,0,0,3644477,0
1985,Wyoming,82,72,0.88,0,0,2,0.03,510203,0
2008,Georgia,770,531,0.69,0,0,0,0,9742376,0
2010,Pennsylvania,1691,1400,0.83,0,0,0,0,13292628,0
2007,Arizona,128,109,0.85,2,0.02,0,0,6351417,97020
1994,Arkansas,226,187,0.83,0,0,0,0,2510009,0
2009,Delaware,70,54,0.77,54,1.00,1,0.02,904124,885122
1996,Pennsylvania,1466,1052,0.72,0,0,1,0.00,12454953,0
2001,New Mexico,118,82,0.69,0,0,0,0,1840977,0
1974,Florida,362,343,0.95,0,0,0,0,8111852,0
2012,North Carolina,589,437,0.74,0,0,0,0,9794736,0
2002,Idaho,141,117,0.83,114,0.97,1,0.01,1378653,1328471
2022,Arizona,149,108,0.72,89,0.82,0,0,7366395,4571670
1991,Wisconsin,311,300,0.96,0,0,0,0,4979753,0
2002,Kansas,414,325,0.79,320,0.98,1,0.00,2786107,2085553
1963,Wyoming,44,42,0.95,0,0,0,0,336986,0
2021,North Carolina,600,414,0.69,414,1.00,0,0,10594388,10224910
1988,Wisconsin,290,268,0.92,0,0,0,0,4891622,0
1961,Oregon,93,92,0.99,0,0,0,0,1764906,0
2005,Ohio,697,514,0.74,316,0.61,4,0.01,11703070,6399722
2021,Virginia,461,413,0.90,413,1.00,2,0.00,8655456,8640726
1969,North Carolina,213,138,0.65,0,0,0,0,5217063,0
1968,Maine,103,83,0.81,0,0,0,0,1004136,0
1978,Maryland,174,160,0.92,0,0,2,0.01,4225718,0
1962,Nebraska,137,130,0.95,0,0,0,0,1487318,0
1960,Massachusetts,216,145,0.67,0,0,0,0,5166360,0
1977,Iowa,226,222,0.98,0,0,0,0,2885611,0
1965,Utah,72,61,0.85,0,0,0,0,1046845,0
2012,Montana,133,106,0.80,99,0.93,1,0.01,1071788,995410
2021,US Virgin Islands,3,0,0,0,0,0,0,0,0
2006,Nevada,53,48,0.91,0,0,0,0,2502102,0
1977,Oregon,223,208,0.93,0,0,0,0,2385274,0
2015,Mariana Islands,1,0,0,0,0,0,0,0,0
1973,Colorado,130,107,0.82,0,0,0,0,2467587,0
1993,New Hampshire,223,103,0.46,0,0,0,0,1268772,0
2002,Rhode Island,49,48,0.98,0,0,0,0,1075893,0
2013,South Carolina,542,430,0.79,430,1.00,0,0,4800816,4763786
1968,Puerto Rico,1,0,0,0,0,0,0,2697000,0
1983,South Dakota,102,56,0.55,0,0,0,0,712748,0
1977,Montana,97,75,0.77,0,0,1,0.01,778349,0
1985,Ohio,591,449,0.76,0,0,2,0.00,10962448,0
2020,Maine,160,133,0.83,71,0.53,0,0,1409701,880262
2006,Wyoming,80,63,0.79,0,0,0,0,521073,0
1964,Pennsylvania,658,508,0.77,0,0,1,0.00,11612544,0
1962,Georgia,283,168,0.59,0,0,2,0.01,4151178,0
1991,Vermont,66,49,0.74,0,0,0,0,575557,0
1980,Wyoming,69,68,0.99,0,0,0,0,468954,0
2019,Arkansas,340,287,0.84,287,1.00,0,0,3037105,2925741
2019,Vermont,103,88,0.85,88,1.00,1,0.01,646608,623989
2005,Alabama,433,267,0.62,0,0,0,0,4575157,0
1970,Oregon,114,101,0.89,0,0,0,0,2097209,0
2009,Oregon,285,169,0.59,61,0.36,0,0,3880842,1110060
1989,Montana,114,78,0.68,0,0,0,0,880653,0
1980,Illinois,873,673,0.77,0,0,0,0,11392481,0
1970,Alabama,174,79,0.45,0,0,0,0,3543767,0
2017,Rhode Island,50,49,0.98,47,0.96,0,0,1066209,1058595
2020,Georgia,796,444,0.56,443,1.00,1,0.00,10985907,9780034
2010,California,774,734,0.95,0,0,1,0.00,37346022,0
1985,Nebraska,322,229,0.71,0,0,0,0,1699840,0
2021,Puerto Rico,24,1,0.04,0,0,0,0,3263584,0
1981,Rhode Island,54,46,0.85,0,0,0,0,956539,0
1977,Guam,1,0,0,0,0,0,0,86926,0
1973,Wyoming,47,35,0.74,0,0,0,0,362245,0
1969,Texas,577,387,0.67,0,0,0,0,11482669,0
1974,Indiana,333,267,0.80,0,0,0,0,5342706,0
2001,South Carolina,487,319,0.66,319,1.00,1,0.00,4086286,4055834
1983,New York,1023,790,0.77,0,0,0,0,18873093,0
1993,Minnesota,313,298,0.95,0,0,0,0,4534740,0
1971,Missouri,277,186,0.67,0,0,0,0,4828227,0
1987,Hawaii,17,5,0.29,0,0,0,0,1133879,0
2000,Wisconsin,389,349,0.90,0,0,0,0,5433493,0
2014,Mississippi,247,100,0.40,4,0.04,0,0,2995404,144940
1982,Indiana,343,281,0.82,0,0,0,0,5484374,0
1990,Vermont,66,49,0.74,0,0,0,0,571253,0
1960,Arkansas,141,112,0.79,0,0,1,0.01,1810544,0
1992,New York,1036,725,0.70,0,0,0,0,19710145,0
1985,Utah,143,110,0.77,0,0,1,0.01,1690917,0
1977,Kansas,234,217,0.93,0,0,0,0,2327396,0
1976,Georgia,317,159,0.50,0,0,0,0,5054136,0
1986,Massachusetts,423,274,0.65,0,0,0,0,5860271,0
2013,Minnesota,380,332,0.87,0,0,3,0.01,5648628,0
2015,Pennsylvania,1840,1502,0.82,28,0.02,5,0.00,13551702,205563
1966,Alaska,8,7,0.88,0,0,0,0,263131,0
1976,Kansas,232,219,0.94,0,0,0,0,2311214,0
2010,Georgia,778,534,0.69,0,0,0,0,9752532,0
1992,Canal Zone,0,0,0,0,0,0,0,0,0
1986,Texas,856,798,0.93,0,0,0,0,16793731,0
1988,Nebraska,320,224,0.70,0,0,0,0,1691578,0
1974,Illinois,797,629,0.79,0,0,0,0,11193676,0
2021,Tennessee,577,442,0.77,442,1.00,1,0.00,6999556,6973090
1987,Arkansas,224,186,0.83,0,0,0,0,2439566,0
1977,Delaware,48,43,0.90,0,0,0,0,582510,0
1983,California,713,659,0.92,0,0,6,0.01,25457775,0
1993,Nebraska,322,257,0.80,0,0,0,0,1701298,0
2001,Hawaii,14,4,0.29,0,0,0,0,1328623,0
2016,Mariana Islands,1,0,0,0,0,0,0,0,0
2008,Louisiana,265,192,0.72,23,0.12,0,0,4492956,424055
1981,Indiana,343,282,0.82,0,0,2,0.01,5479361,0
2010,Virginia,443,413,0.93,413,1.00,1,0.00,8007795,8001024
1962,Florida,212,174,0.82,0,0,0,0,5533089,0
2008,Puerto Rico,1,0,0,0,0,0,0,0,0
1970,New Hampshire,60,47,0.78,0,0,0,0,737681,0
2011,North Dakota,133,101,0.76,97,0.96,0,0,703813,670807
2017,Arizona,149,114,0.77,5,0.04,0,0,7037119,441754
1978,Indiana,339,287,0.85,0,0,0,0,5386789,0
1967,Kansas,203,185,0.91,0,0,0,0,2291707,0
1980,Massachusetts,421,331,0.79,0,0,0,0,5733250,0
2006,Illinois,948,205,0.22,1,0.00,0,0,12903652,153738
1968,Iowa,205,174,0.85,0,0,0,0,2761565,0
2006,South Carolina,535,492,0.92,490,1.00,0,0,4342253,4318330
1985,Alaska,35,24,0.69,0,0,0,0,579424,0
1973,Massachusetts,277,202,0.73,0,0,0,0,5839586,0
2002,Florida,699,595,0.85,0,0,0,0,16790087,0
2019,New Mexico,145,122,0.84,7,0.06,0,0,2101456,930644
2008,Nevada,53,48,0.91,0,0,0,0,2606849,0
2005,Delaware,70,53,0.76,53,1.00,1,0.02,870075,843524
2015,Ohio,910,655,0.72,550,0.84,0,0,11717241,8905430
1979,Montana,107,91,0.85,0,0,0,0,798181,0
2014,Delaware,77,59,0.77,59,1.00,0,0,951985,935614
1979,Iowa,230,225,0.98,0,0,0,0,2911703,0
1969,Missouri,268,195,0.73,0,0,0,0,4750029,0
2016,Maine,223,199,0.89,25,0.13,1,0.01,1382833,379766
2021,Texas,1298,1020,0.79,1020,1.00,0,0,29597833,28940967
1986,Tennessee,300,212,0.71,0,0,0,0,4819521,0
2012,Washington,307,268,0.87,211,0.79,0,0,6937277,4689877
2019,Montana,138,106,0.77,100,0.94,0,0,1128358,1063170
1971,Canal Zone,1,0,0,0,0,0,0,44650,0
1988,Colorado,265,231,0.87,0,0,0,0,3320311,0
1978,Guam,1,0,0,0,0,0,0,86926,0
2002,Puerto Rico,1,0,0,0,0,0,0,0,0
1995,Georgia,734,532,0.72,0,0,0,0,7259408,0
1973,Vermont,49,27,0.55,0,0,0,0,464000,0
2014,US Virgin Islands,3,2,0.67,0,0,0,0,0,0
2019,Rhode Island,50,49,0.98,47,0.96,0,0,1065937,1058329
1978,Missouri,299,223,0.75,0,0,0,0,4938947,0
1973,New York,451,364,0.81,0,0,0,0,19373070,0
1995,Mississippi,219,110,0.50,0,0,0,0,2697105,0
2020,Indiana,358,213,0.59,179,0.84,0,0,6763283,5051308
1985,Montana,117,79,0.68,0,0,0,0,916952,0
1986,Nebraska,322,227,0.70,0,0,0,0,1690837,0
1979,Connecticut,111,95,0.86,0,0,0,0,3196285,0
1990,Colorado,268,228,0.85,0,0,1,0.00,3328664,0
1994,South Dakota,118,68,0.58,0,0,0,0,730043,0
2001,Maryland,180,148,0.82,0,0,0,0,5530549,0
2012,Texas,1124,1033,0.92,57,0.06,0,0,26143479,3251069
1990,Wyoming,76,69,0.91,0,0,1,0.01,457141,0
2016,Puerto Rico,21,0,0,0,0,0,0,0,0
1965,Colorado,114,93,0.82,0,0,1,0.01,2031589,0
1994,Montana,120,0,0,0,0,0,0,931941,0
2007,Louisiana,265,190,0.72,22,0.12,0,0,4375963,397906
2003,Nevada,40,35,0.88,0,0,0,0,2247570,0
1965,Oregon,96,90,0.94,0,0,0,0,1907050,0
2017,Tennessee,578,467,0.81,467,1.00,1,0.00,6734436,6715984
1995,North Carolina,769,486,0.63,0,0,0,0,7218489,0
1971,Oregon,117,102,0.87,0,0,0,0,2163825,0
2018,Connecticut,126,106,0.84,96,0.91,1,0.01,3630004,3150064
1998,Florida,519,453,0.87,0,0,0,0,14966475,0
2017,Wyoming,83,57,0.69,0,0,0,0,588905,0
2018,Wisconsin,484,438,0.90,186,0.42,1,0.00,5923923,3979874
1989,Oklahoma,341,282,0.83,0,0,0,0,3268862,0
2012,Indiana,376,316,0.84,0,0,0,0,6548541,0
2020,Nevada,74,60,0.81,28,0.47,0,0,3144540,3059000
1982,Maine,139,131,0.94,0,0,1,0.01,1144555,0
1969,Kansas,204,190,0.93,0,0,0,0,2334377,0
1990,North Dakota,99,41,0.41,0,0,0,0,646556,0
2018,Texas,1227,1030,0.84,339,0.33,0,0,28782809,12233919
1964,California,425,389,0.92,0,0,2,0.01,18595539,0
2009,Hawaii,14,4,0.29,0,0,0,0,1405431,0
1976,Wisconsin,259,249,0.96,0,0,0,0,4631355,0
1971,Alabama,181,88,0.49,0,0,1,0.01,3581147,0
1994,Connecticut,116,99,0.85,0,0,1,0.01,3356789,0
1989,Arkansas,221,187,0.85,0,0,2,0.01,2465686,0
2001,Kentucky,556,24,0.04,13,0.54,2,0.08,4101396,191220
1979,Missouri,301,219,0.73,0,0,0,0,4942969,0
2002,Tennessee,553,454,0.82,454,1.00,3,0.01,5812035,5796512
2002,District of Columbia,2,2,1.00,1,0.50,0,0,570898,0
2008,Maine,185,168,0.91,15,0.09,0,0,1356450,282334
2020,Mariana Islands,1,0,0,0,0,0,0,0,0
1965,Hawaii,14,7,0.50,0,0,0,0,707238,0
1978,Florida,722,687,0.95,0,0,6,0.01,8658320,0
1962,Alabama,174,117,0.67,0,0,0,0,3418635,0
2000,Connecticut,118,100,0.85,41,0.41,0,0,3485100,1015035
1976,Canal Zone,1,0,0,0,0,0,0,44650,0
1993,Puerto Rico,1,0,0,0,0,0,0,0,0
2017,Arkansas,339,297,0.88,297,1.00,0,0,3021597,2959475
1996,Alaska,40,28,0.70,0,0,0,0,607000,0
2003,Pennsylvania,1510,890,0.59,0,0,0,0,12888020,0
2007,New Jersey,597,516,0.86,0,0,0,0,8734669,0
2000,Kansas,388,312,0.80,307,0.98,7,0.02,2761829,2032618
1965,Florida,213,168,0.79,0,0,0,0,5931510,0
2005,Mississippi,224,137,0.61,0,0,0,0,2922286,0
1983,Oklahoma,333,288,0.86,0,0,0,0,3327862,0
1966,Alabama,174,83,0.48,0,0,0,0,3608224,0
2009,Florida,705,593,0.84,0,0,0,0,18646709,0
1981,Georgia,531,414,0.78,0,0,1,0.00,5600401,0
1969,Nebraska,139,108,0.78,0,0,0,0,1452686,0
1993,Nevada,36,26,0.72,0,0,0,0,1394010,0
1965,South Carolina,120,66,0.55,0,0,0,0,2601467,0
1990,Rhode Island,53,43,0.81,0,0,0,0,1008925,0
2015,New Jersey,624,575,0.92,0,0,0,0,9014923,0
2015,Iowa,264,238,0.90,238,1.00,0,0,3153349,3109068
1978,Louisiana,178,162,0.91,0,0,0,0,3978191,0
2008,Kansas,436,359,0.82,348,0.97,1,0.00,2883377,2178288
2004,Guam,1,0,0,0,0,0,0,0,0
1960,Guam,1,1,1.00,0,0,0,0,62044,0
2004,Vermont,86,75,0.87,75,1.00,0,0,632382,602735
2021,Maine,160,131,0.82,131,1.00,0,0,1436427,1372247
1977,District of Columbia,1,1,1.00,0,0,0,0,690000,0
2008,Mississippi,225,142,0.63,0,0,0,0,2939817,0
1999,Arkansas,230,194,0.84,1,0.01,0,0,2608974,21073
1972,New York,445,358,0.80,0,0,1,0.00,19440508,0
2014,New York,887,576,0.65,0,0,0,0,21699212,0
1963,Alaska,7,6,0.86,0,0,0,0,248000,0
2015,Louisiana,299,205,0.69,32,0.16,1,0.00,4806495,801383
2017,New Jersey,616,576,0.94,0,0,0,0,9066144,0
2021,Guam,3,1,0.33,1,1.00,0,0,153836,153836
1988,Wyoming,76,70,0.92,0,0,0,0,474665,0
1993,Massachusetts,418,245,0.59,0,0,0,0,6042905,0
1997,Massachusetts,425,317,0.75,114,0.36,0,0,6145292,1946867
1984,Pennsylvania,1352,1142,0.84,0,0,3,0.00,12157173,0
1986,Minnesota,298,288,0.97,0,0,0,0,4228232,0
2006,Canal Zone,0,0,0,0,0,0,0,0,0
1962,Colorado,111,102,0.92,0,0,0,0,1934622,0
1991,Nebraska,322,257,0.80,0,0,0,0,1687149,0
1998,Alabama,398,296,0.74,0,0,0,0,4397943,0
2018,Pennsylvania,1855,1495,0.81,28,0.02,1,0.00,13602353,202192
2000,Kentucky,557,20,0.04,8,0.40,0,0,4066838,138111
1963,Massachusetts,251,228,0.91,0,0,0,0,5240551,0
1970,Idaho,80,72,0.90,0,0,0,0,717224,0
1974,South Carolina,301,185,0.61,0,0,0,0,2805518,0
1976,Pennsylvania,1233,1127,0.91,0,0,4,0.00,11967286,0
2018,Utah,183,130,0.71,75,0.58,0,0,3378732,2361271
1988,Montana,114,77,0.68,0,0,3,0.04,889906,0
1982,Kansas,265,245,0.92,0,0,3,0.01,2442269,0
2014,North Carolina,595,415,0.70,0,0,0,0,9977797,0
1990,Arizona,104,90,0.87,0,0,0,0,3679876,0
1992,Ohio,597,389,0.65,0,0,0,0,11319668,0
1991,Arkansas,222,186,0.84,0,0,0,0,2432370,0
2007,South Carolina,535,483,0.90,483,1.00,2,0.00,4432638,4407709
2005,Georgia,757,488,0.64,0,0,0,0,9111910,0
2000,Washington,279,241,0.86,0,0,0,0,5910726,0
2011,Puerto Rico,1,0,0,0,0,0,0,0,0
2009,Arkansas,299,260,0.87,259,1.00,0,0,2914733,2748042
1991,Missouri,323,251,0.78,0,0,0,0,5225315,0
1990,Delaware,61,53,0.87,0,0,0,0,685172,0
2012,Alaska,47,34,0.72,0,0,1,0.03,735190,0
1977,North Carolina,636,407,0.64,0,0,0,0,5529116,0
1964,Nevada,28,25,0.89,0,0,0,0,408007,0
1978,Maine,135,129,0.96,0,0,0,0,1099307,0
1966,Hawaii,14,7,0.50,0,0,0,0,719083,0
1979,New Hampshire,227,121,0.53,0,0,0,0,1005431,0
2020,Texas,1262,1063,0.84,810,0.76,0,0,29436098,26348362
1998,North Dakota,116,90,0.78,83,0.92,0,0,649017,496157
1999,Arizona,110,98,0.89,0,0,0,0,4790537,0
1985,Iowa,232,223,0.96,0,0,0,0,2896470,0
2017,Kansas,469,372,0.79,367,0.99,0,0,3006891,2160974
2005,North Carolina,573,446,0.78,0,0,0,0,8710624,0
2010,Utah,165,127,0.77,62,0.49,0,0,2864017,2060344
1985,Wisconsin,292,270,0.92,0,0,0,0,4806893,0
2022,Louisiana,315,151,0.48,148,0.98,0,0,4646161,3428406
2009,Nebraska,325,232,0.71,62,0.27,0,0,1859286,614552
1993,Oklahoma,349,285,0.82,0,0,0,0,3276795,0
1982,Oklahoma,333,292,0.88,0,0,0,0,3204221,0
1964,Idaho,76,72,0.95,0,0,0,0,696173,0
1993,Kentucky,560,492,0.88,0,0,0,0,3796549,0
1960,New Hampshire,35,30,0.86,0,0,0,0,606921,0
1991,Idaho,131,96,0.73,0,0,1,0.01,1071462,0
1981,Arizona,116,112,0.97,0,0,0,0,2804998,0
2014,Wyoming,82,61,0.74,0,0,0,0,591789,0
1979,Utah,124,115,0.93,0,0,0,0,1378312,0
1988,Tennessee,291,213,0.73,0,0,0,0,4935903,0
1977,West Virginia,279,270,0.97,0,0,0,0,1859450,0
1995,Rhode Island,54,45,0.83,0,0,0,0,995440,0
2005,Alaska,46,33,0.72,0,0,0,0,664150,0
